Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Notes
SPIN 101,Tomb Mold,Manor Of Infinite Forms,20 Buck Spin,"Cass, Album, RE",,2021,18903883,Uncategorized,2022-02-12 19:20:35,
SPIN 150,Dream Unending,Tide Turns Eternal,20 Buck Spin,"Cass, Album",,2021,21172816,Uncategorized,2021-11-30 07:55:46,
SPIN113,Cerebral Rot,Odious Descent Into Decay,20 Buck Spin,"Cass, Album, Tra",,2019,22013452,Uncategorized,2022-03-27 07:14:43,
SPIN114,Tomb Mold,Planetary Clairvoyance,20 Buck Spin,"Cass, Album",,2019,13908297,Uncategorized,2021-11-13 13:59:54,
SPIN134,Vatican Shadow,Persian Pillars Of The Gasoline Era,20 Buck Spin,"Cass, Album",,2020,15982478,Uncategorized,2021-11-13 14:20:34,
Spin135,Atramentus,Stygian,20 Buck Spin,"Cass, Album",,2020,15774120,Uncategorized,2021-11-13 14:03:11,
SPIN139,Worm (23),Foreverglade ,20 Buck Spin,"Cass, Album, Pur",,2021,20681413,Uncategorized,2021-11-13 14:23:16,
SPIN158,Hulder,Godslastering: Hymns Of A Forlorn Peasantry,20 Buck Spin,"Cass, Album",,2022,23128463,Uncategorized,2022-07-02 13:57:13,
SPIN162,Hulder,Ascending The Raven Stone,20 Buck Spin,"Cass, RP",,2022,22937387,Uncategorized,2022-07-02 13:57:29,
SPIN166,Worm (23),Bluenothing,20 Buck Spin,"Cass, MiniAlbum",,2022,25060825,Uncategorized,2022-11-08 19:48:35,
25D 014,Pallex,Pallex,25 Diamonds,"Cass, EP, Num",,2014,6355382,Uncategorized,2015-07-07 19:21:10,41/77
none,Vangelis,Blade Runner (Music From The Original Soundtrack),Anvil Of Crom Productions,"Cass, Album, Unofficial, Red",,2022,24219605,Uncategorized,2022-09-06 17:32:11,
none,Hans Zimmer & Benjamin Wallfisch,Blade Runner 2049 (Original Motion Picture Soundtrack),Anvil Of Crom Productions,"Cass, Album, Unofficial, Ora",,2022,24219518,Uncategorized,2022-09-06 17:32:36,
ARS01T,Blurring Agent,Blurring Agent,Art Rock Sucks,"Cass, EP",,2016,8761647,Uncategorized,2016-07-11 01:51:21,
ASS21,Oaks (5),Oaks,ASS Records (2),"Cass, EP",,2011,7317728,Uncategorized,2015-09-04 19:25:36,
CS 36-147 ,Peter Gabriel,Peter Gabriel,ATCO Records,"Cass, Album, RE, Sev",,0,12606489,Uncategorized,2022-10-25 19:15:54,
82667-4,Yes,Fragile,Atlantic,"Cass, Album, RE, RM, Gat",,1994,4536095,Uncategorized,2022-10-24 13:53:29,
CS-19277,Genesis,Selling England By The Pound,Atlantic,"Cass, Album, RE, On ",,1973,14382960,Uncategorized,2022-10-24 13:53:33,
AMAC013,Aphotic Spectre,Væneration,Audio Miasma,"Cass, Album",,2021,24800252,Uncategorized,2022-10-12 06:43:02,
BOBV089MC,Burzum,Filosofem,Back On Black,"Cass, Album, RE",,2022,22523288,Uncategorized,2022-09-13 14:28:22,
BOBV1034MC,Strapping Young Lad,City,Back On Black,"Cass, Album, RE, Bla",,2022,25091878,Uncategorized,2022-11-16 06:45:43,
BEGC 75,The Fall,Bend Sinister,Beggars Banquet,"Cass, Album, Whi",,1986,1740444,Uncategorized,2022-10-03 14:46:42,
CAL-105,Succumb (5),Succumb,Caligari Records,"Cass, Album",,2021,20913229,Uncategorized,2021-11-13 14:11:47,
